,Name + autors,Fields,Date,Abstract,Citations,PDF link
531,Introduction to Semi Supervised Learning Zhu Goldberg/2ff6fcebe5561433a2d2abeb8b30b2fbf3c0e303,Computer Science,29 June 2009,Semi-supervised learning learning is a,1396,https://doi.org/10.2200/S00196ED1V01Y200906AIM006
532,Learning Thermodynamics with Boltzmann Machines Torlai Melko/43d563584f118e9047f072093d25af94dd323958,"Physics, Computer Science",8 June 2016,We develop a Boltzmann machine  that is capable of modeling thermodynamic observables for physical systems in thermal equilibrium.,142,https://arxiv.org/pdf/1606.02718.pdf
533,Learning to link with wikipedia Milne Witten/07abd02f02774d178f26ca99937e5f94001a9ec9,Computer Science,26 October 2008,This paper describes how to automatically cross-reference documents with Wikipedia: the largest knowledge base ever known.   ,1220,http://dl.acm.org/citation.cfm?id=1458150
534,Feature Selection for Machine Learning%3A Comparing a Hall Smith/403a730841c1e8e9e8062df22ff8f43537afd6ee,Computer Science,1 May 1999,This paper describes a new fllter approach to feature selection that uses a correlation based heuristic to evaluate the worth of feature subsets.   ,505,http://www.aaai.org/Library/FLAIRS/1999/flairs99-042.php
535,Stacked Autoencoders for Unsupervised Feature and a Shin Orton/22d6d9c1b7ac2738b51d93be45ac8f753f81867c,"Computer Science, Medicine",1 August 2013,"We test the application of deep learning  methods to medical images, with visual and temporal hierarchical features learned to categorize object classes from an unlabeled multimodal DCE-MRI dataset so that only a weakly supervised training is required.",356,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6399478
536,Interactive machine learning Fails Olsen/8b8570a9892c487ac05dc196e2bfe23faa34d99e,Computer Science,12 January 2003,We propose an interactive machine learning -,402,http://dl.acm.org/citation.cfm?id=604056
537,Torch%3A a modular machine learning software library Collobert Bengio/464d94b3dc9a109dd64008a41a00181830f285aa,Computer Science,2002,   ,484,
538,Ensemble machine learning on gene expression data Tan Gilbert/74b2828dfdf71f2462d88b90a9fc82b90a0f83ca,"Computer Science, Medicine",2003,"In this paper, we focus on three different supervised machine learning techniques in cancer classification, namely C4.5 decision tree, bagged and boosted decision trees.",355,https://www.ncbi.nlm.nih.gov/pubmed/15130820
539,Monotonicity Maintenance in Information Theoretic Ben David/f01c9b8f4fae5fb66ed5dffe40484938d60e09f2,Mathematics,1 April 1995,   ,108,https://doi.org/10.1023/A%3A1022655006810
540,Machine Learning%3A ECML 2004 Boulicaut Esposito/5d6767775e12b8a73218a4525bbeb75b064aaca0,Computer Science,1 September 2004,"We show how carefully crafted random matrices can achieve distance-preserving dimensionality reduction, accelerate spectral computations, and reduce the sample complexity of certain kernel methods.   ",203,https://doi.org/10.1007/b100702
541,Elements of Machine Learning Langley/c565b6750a7c4c122695daab8463c53b818699a6,Computer Science,15 September 1995,   ,584,https://pdfs.semanticscholar.org/c565/b6750a7c4c122695daab8463c53b818699a6.pdf
542,Practical feature subset selection for machine Hall Smith/ae6fdc00ec8c2299f101ddd428bfd82a0b55bac6,Computer Science,1998,"We present a new feature selection algorithm that uses a correlation based heuristic to determine the “goodness” of feature subsets, and evaluates its effectiveness with three common machine learning algorithms.",475,
543,Machine Learning Approaches to Estimating Software Srinivasan Fisher/7d8b40eb7f3eb0e03c35f066c97a2040f2f8b724,Computer Science,1 February 1995,"This article describes two methods of machine learning , which we use to build estimators of software development effort from historical data.",514,https://doi.org/10.1109/32.345828
544,Learning and optimization using the clonal Castro Zuben/29cedf9f9edd5179aa2e78654a7b81c9da45f0d0,Computer Science,1 June 2002,This paper proposes a computational implementation of the clonal selection principle that explicitly takes into account the affinity maturation of the immune response.   ,2172,https://doi.org/10.1109/TEVC.2002.1011539
545,The Geometry of ROC Space%3A Understanding Machine Flach/b8eb7da56dae58f77788c33a57b5b810ca930527,Computer Science,21 August 2003,"This paper provides a derivation of ROC space from first principles through 3D ROCspace and the skew ratio, and redefines metrics in these dimensions.   ",267,http://www.aaai.org/Library/ICML/2003/icml03-028.php
546,A fast pruned extreme learning machine for problem Rong Ong/1a7423f3c3386ec9e73a2e51a11f2afc61753cb7,Computer Science,1 December 2008,"We address the architectural design of the ELM classifier network, since too few/many hidden nodes employed would lead to underfitting/overfitting issues in pattern classification.   ",304,https://doi.org/10.1016/j.neucom.2008.01.005
547,Application of Machine Learning Algorithms to KDD Sabhnani Serpen/b379c5eb2f8cc501e855d295fa5712294ca2b3ed,Computer Science,2003,"A small subset of machine learning algorithms, mostly inductive",292,
548,Applications of machine learning and rule induction Langley Simon/bbfad4e88fd8bfbbd77ba53a56fe2886ecc147da,Computer Science,1 November 1995,is the study of computational methods for improving performance by mechanizing the acquisition of knowledge from experience. Machine learning ,497,http://dl.acm.org/citation.cfm?id=219768
549,Machine Learning and Data Mining%3B Methods and Michalski Bratko/c21ce2fd906ef6b5c669d55458bd956155eda14f,Avan Bratko,,TLDR A Practical Guide to Machine Learning,Expand,
550,An Empirical Comparison of Pattern Recognition%2C and Weiss Kapouleas/7b7222ac076d211d7fcae7d012bebcc4ea71e952,Computer Science,20 August 1989,"Classification methods from statistical pattern recognition, neural nets, and machine learning were applied to four real-world data sets characterized by statisucal uncertainty.",510,http://ijcai.org/Proceedings/89-1/Papers/125.pdf
551,What do you mean by collaborative learning Dillenbourg/9874b4cfd9e8ef89fd0b753af18c14cbc7c42744,,1999,   ,2108,
552,Semi Supervised Learning Chapelle Schlkopf/5ee8a371fc5adc5469435020a52fb815f3b57a71,Computer Science,1 November 2006,"In the field of machine learning , semi-supervised",2435,https://doi.org/10.7551/MITPRESS%2F9780262033589.001.0001
553,Support vector machine learning for image retrieval Zhang Lin/184208a99018ce2f6c177b41d8786f8cda518a94,Computer Science,7 October 2001,A novel method of relevance feedback is presented based on support vector machine learning in the content-based image retrieval system.,297,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=958595
554,Business data mining a machine learning perspective Bose Mahapatra/57c095040066982614fe2789fe2db4fb93d3e3a3,Computer Science,20 December 2001,The objective of this paper is to inform the information systems (IS) manager and business analyst about the role of machine learning techniques in business data mining.,314,https://doi.org/10.1016/S0378-7206%2801%2900091-X
555,Information Extraction from HTML%3A Application of a Freitag/dd7cee21074ea6b346011d7463f7387ad9bfcc2a,Computer Science,1 July 1998,"We show how information extraction can be cast as a standard machine learning problem, and argue for the suitability of relational",311,http://www.aaai.org/Library/AAAI/1998/aaai98-073.php
556,Machine learning for science%3A state of the art and Mjolsness DeCoste/c6efa1ce0177d6990ad6580013e04b281c4a5295,"Engineering, Medicine",14 September 2001,   ,219,https://www.ncbi.nlm.nih.gov/pubmed/11557883
557,Transfer Learning for Reinforcement Learning A Taylor Stone/467568f1777bc51a15a5100516cd4fe8de62b9ab,Computer Science,1 December 2009,"We present a framework that classifies transfer learning learning methods in terms of their capabilities and goals, and then use it to survey the existing literature, as well as to suggest future directions for transfer",1217,https://doi.org/10.1145/1577069.1755839
558,An application of machine learning to network Sinclair Pierce/07dc576e87368680e1cfafe9336853979168c2bd,Computer Science,6 December 1999,This paper describes the use of machine learning techniques which provide decision aids for the analysts and which automatically generate rules to be used for computer network intrusion detection.,229,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=816048
559,Overfitting and undercomputing in machine learning Dietterich/50a869bcd6d45ec7fdb317877c3d2a047c2cfc38,Computer Science,1 September 1995,A central problem in machine learning is supervised,286,http://dl.acm.org/citation.cfm?id=212114
560,Readings in Machine Learning Shavlik Deitterich/5dcb588150d84ef6d1b1ed6ca96e2fd62399de2c,Computer Science,1 March 1991,Readings in Machine Learning collects the best of the published,354,
561,A Machine Learning Approach to Workflow Management Herbst/1bf05a4ad4b6dd4b6d14d6d2dc7a9354dd1f4425,Computer Science,31 May 2000,This contribution shows how the basic principle of our previous approach to sequential workflow induction can be generalized to deal with concurrency.   ,227,https://doi.org/10.1007/3-540-45164-1_19
562,A Machine Learning Approach to Automatic Production Monsifrot Bodin/c4ec5dc7d68d858e141113feca9921c632b3b2d5,Computer Science,4 September 2002,"In this paper, we address the automatic generation of optimization heuristics for a target processor by machine learning .",175,https://doi.org/10.1007/3-540-46148-5_5
563,Applications of machine learning to ecological Recknagel/5000299a084105aa79a4466abde971ca153522ea,Computer Science,1 December 2001,The paper provides a summary of paper presentations at the 2nd International Conference on Applications of Machine Learning to Ecological Modelling and a preview of forthcoming developments in this area.,180,https://doi.org/10.1016/S0304-3800%2801%2900316-7
564,Machine learning%3A an artificial intelligence volume Kodratoff Michalski/f4971ff0f6ae626e78131bafa012eadfe8e238e2,Computer Science,1 June 1990,This book reflects the expansion of machine learning research through presentation of recent advances in the field.,294,
565,On line Algorithms in Machine Learning Blum/c5ca3b6ad0e74ab8a83d77ebef0c5a498ba5d781,Computer Science,1996,"We describe several interesting algorithms for on-line learning learning , including the Winnow algorithm and an algorithm for",233,https://doi.org/10.1007/BFb0029575
566,An Application of Machine Learning to Anomaly Lane/701d2f7c45277e74cc1f047d7681010a233ecc66,Computer Science,1999,The anomaly detection problem has been widely studied in the computer security literature.   ,213,
567,Machine learning as an experimental science Langley/180882b3f2ea5dfe0a554deead2c0ceb837ee933,Computer Science,1988,"is a scientific discipline and, like the fields of AI and computer science, has both theoretical and empirical aspects. Machine learning ",136,https://doi.org/10.1007/BF00115008
568,Evolutionary Computation%3A Towards a New Philosophy Fogel/a2b5abb2e8ef4935c5e651fde5e3f3f007c5d9f9,Computer Science,1 July 1995,"In this revised and significantly expanded second edition, distinguished scientist David B. Fogel presents the latest advances in the theory and practice of evolutionary computation to help you keep pace with developments in this fast-changing field.   ",2103,
569,Machine Learning in Medical Applications Magoulas Prentza/e12fd1721516d0f90de39d63a4e273b9d13d0a0c,Computer Science,2001,"(ML) provides methods, techniques, and tools that can help solving diagnostic and prognostic problems in medical domains. Machine Learning ",77,https://doi.org/10.1007/3-540-44673-7_19
570,Genetic algorithms as a tool for feature selection Vafaie Jong/7c0091f58a51de301bd2906225cd8046f85f7a0a,Computer Science,10 November 1992,"An approach being explored to improve the usefulness of machine learning techniques for generating classification rules for complex, real-world data is described.",245,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=246402
571,Machine Learning Methods for Ecological Fielding/d50c8fd5448e4149b470aeb92eefb270088adc44,Computer Science,29 October 2012,This is the first text aimed at introducing machine learning methods to a readership of professional ecologists.,178,https://doi.org/10.1007/978-1-4615-5289-5
572,Machine Learning Approaches to Manufacturing Monostori M%C3%A1rkus/34ebde68c7bbc5c95eacd212e7277e529536e922,Engineering,1996,   ,161,https://doi.org/10.1016/S0007-8506%2818%2930216-6
573,Computational complexity of machine learning Kearns/a54657b8de38a18f30fd154d713f9522f705166c,"Mathematics, Computer Science",22 October 1990,This thesis is a study of the computational complexity of machine learning from examples in the distribution-free model introduced by L. G. Valiant (V84) and is concerned with proving theorems about,229,
574,A review of machine learning in scheduling Aytug Bhattacharyya/9820a5eeada755155f246f26ea0959e0d50dd57b,Computer Science,1 May 1994,This paper has two primary purposes: to motivate the need for machine learning in scheduling systems and to survey work on,119,https://pdfs.semanticscholar.org/9820/a5eeada755155f246f26ea0959e0d50dd57b.pdf
575,Crafting Papers on Machine Learning Langley/3efcb97c1de1c87832a7a1d99e91801992a938ec,Computer Science,29 June 2000,"This essay gives advice to authors of papers on machine learning , although much of it carries over to other computational disciplines.",161,
576,Does Machine Learning Really Work Mitchell/451f86130daf5632b87cd4c0f417b245c6ebb582,Computer Science,15 September 1997,"This article, based on the keynote talk presented at the Thirteenth National Conference on Artificial Intelligence, samples a number of recent accomplishments in machine learning and looks at where the field might be headed.",134,https://doi.org/10.1609/aimag.v18i3.1303
577,Introduction to machine learning Kodratoff/7195cc1469cded3f506f16fcdd497576996e8cde,Computer Science,1988,Theoretical Foundations for Machine Learning and AI: The Contributions of AI to,99,https://doi.org/10.1108/k.2010.06739hae.001
578,Bioinformatics The Machine Learning Approach Grant/cf171d57f8232ba90a0696f8cb46144b39380d0b,"Computer Science, Biology",2000,   ,415,https://doi.org/10.1016/S0097-8485%2800%2980015-7
579,Estimating Probabilities%3A A Crucial Task in Machine Cestnik/ad58594194155af8b48eaf3ab9525a1fafd24e58,Computer Science,1990,   ,566,
580,Global discretization of continuous attributes as Chmielewski Grzymala Busse/c5e2057c8bda178fabfa0f5bed8f6f8dce933e8d,Computer Science,1 November 1996,"In this paper, a method of transforming any local discretization method into a global one is presented.   ",360,https://doi.org/10.1016/S0888-613X%2896%2900074-6
581,Machine Learning%3A Neural Networks%2C Genetic and Adeli Hung/65df2d9b3c656ca85e4d66c327cfd8c8d1182df3,Computer Science,8 September 1994,A Concurrent Adaptive Conjugate Gradient Learning Learning Algorithm for Efficient Training of Neural Networks A Fuzzy Neural Network,434,https://doi.org/10.1108/k.1999.28.3.317.5
582,Optimization for Machine Learning Audibert/88c8a70562e0a722e6b17fc65c80633b9d34ec18,,1995,   ,385,https://pdfs.semanticscholar.org/a05f/0e547869d7581651ce94979c2018b9dc32b9.pdf
583,Machine learning and data mining Mitchell/fe78338ee1ce7e202b4b901943f59d16090ae4f3,Computer Science,1 November 1999,"Over the past decade many organizations have begun to routinely capture huge volumes of historical data describing their operations, their products, and their customers.   ",373,http://dl.acm.org/citation.cfm?id=319388
584,Machine Learning and Data Mining Palou%C5%A1/025d7241e095ebc7f1d615fb9d178a1098f33cb0,,2002,   ,218,
585,Machine Learning%3A ECML 98 N%C3%A9dellec Rouveirol/72282cfbb493c487f9f43a6270b5bd9d94b57d94,Computer Science,1998,   ,390,https://doi.org/10.1007/BFb0026664
586,Proceedings of the European Conference on Machine Brazdil/c0ec50a3a933e9d55efa1a304a76c4cdf9367442,Computer Science,5 April 1993,   ,285,
587,Optimization%2C and Machine Learning Goldberg/2097ff87df3cb9427c7388bc7b997ed56907d45b,Computer Science,1989,"Problem 1 (20%) Consider the function f(x1, x2) = (x1 + x 2 2) 2 At the point xk = [1, 0] T , find (a) the gradient descent direction (b) xk+1 by exact line search on the gradient ascent direction (c) the Newton direction (d) the Newtons direction .   ",343,
588,%E2%80%9CMemo%E2%80%9D Functions and Machine Learning Michie/22faafeba7d7443da14c1e23e549b94e40d7d6ee,Computer Science,1 April 1968,It would be useful if computers could learn from experience and thus automatically improve the efficiency of their own programs during execution.   ,388,https://doi.org/10.1038/218019A0
589,Genetic Algorithms in Machine Learning Shapiro/4a6a88fcd374e4fdf2120f65b82c1382bdccfa2d,Computer Science,2001,Genetic algorithms are stochastic search algorithms which act on a population of possible solutions.   ,64,https://doi.org/10.1007/3-540-44673-7_7
590,Learning machine learning Lamsweerde/26e85b438135f6defa1326d73db147e8bd51ae41,Engineering,1991,   ,133,
591,Neural networks and machine learning Bishop/e8b30ebe3351680c3b039555ae0a8d0865ad829b,Computer Science,1998,"In recent years neural computing has emerged as a practical technology, with successful applications in many fields.   ",158,
592,%E2%80%9CMemo%E2%80%9D Functions and Machine Learning Michie/4397de413454e199de76f93a4834b6a3a7ac23f5,,1968,   ,186,https://doi.org/10.1038/218306c0
593,Learning with Kernels%3A Support Vector Machines%2C and Sch%C3%B6lkopf Smola/76f96dadd80b19bde49e0e1f07bfa9fe8485eeec,Computer Science,1 December 2001,"with Kernels provides an introduction to SVMs and related kernel methods.From the Publisher:  In the 1990s, a new type of Learning learning algorithm was developed, based on results from statistical",2255,https://doi.org/10.1198/JASA.2003.S269
594,Learning to select and generalize striking in robot Muelling Kober/1695dbabf8e905db0b391ff522c323db5fc8b958,"Computer Science, Engineering",19 October 2012,new motor tasks from physical interactions is an important goal for both robotics and Learning machine .,312,https://doi.org/10.1177/0278364912472380
595,Self taught learning%3A transfer learning from data Raina Battle/b3852f0113fcf8a3913c55ae92393ae6ccde347e,Computer Science,20 June 2007,"We present a new machine learning framework called ""self-taught",1465,http://dl.acm.org/citation.cfm?id=1273592
596,Boosting for transfer learning Dai Yang/884895a86fe15cb9601df4a15a1475c07f28da3c,Computer Science,20 June 2007,"We present a novel transfer learning learning framework called TrAdaBoost, which extends boosting-based",1244,http://dl.acm.org/citation.cfm?id=1273521
597,The children's machine%3A rethinking school in the of Papert/e2d4321c99b74859b8aa57daac7df4f1c11291cb,Psychology,16 June 1993,   ,1723,https://doi.org/10.5860/choice.31-1648
598,Machine Learning Jebara/1684ae5e1e4ddb26a0b16cf452cd2ddfe2b8d258,Computer Science,2003,   ,,https://doi.org/10.1007/978-1-4939-7131-2_100620
599,Ontology Learning for the Semantic Web Maedche Staab/48e752c719d33ff55b3b3bec3538727f8ce69399,Computer Science,28 February 2002,An ontology learning  framework that extends typical ontology engineering environments by using semiautomatic ontology construction tools.,2093,https://doi.org/10.1109/5254.920602
600,Machine learning Blurock/8a32fd848622ed929ff1ddf318dfbd1f16ea5c6b,Computer Science,1 May 2001,   ,,https://doi.org/10.1007/springerreference_18220
601,Machine Learning Forsyth/58740a751f399d634c0542ccecefba7c2dea15be,Computer Science,1986,   ,,https://pdfs.semanticscholar.org/5874/0a751f399d634c0542ccecefba7c2dea15be.pdf
602,A Fast and Accurate Online Sequential Learning for Liang Huang/1c00df1cb85fa7886b6666599eab59f2b301dd5d,"Computer Science, Medicine",1 November 2006,We develop an online sequential learning  algorithm for single hidden layer feedforward networks (SLFNs) with additive or radial basis function (RBF) hidden nodes in a unified framework.,1459,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4012031
603,Semi supervised learning for peptide identification K%C3%A4ll Canterbury/0d7ee3f200a044b594606c9067bbcd1638ec32e3,"Biology, Medicine",1 November 2007,   ,1237,https://doi.org/10.1038/nmeth1113
604,Information Theoretic Learning Renyi's Entropy and Pr%C3%ADncipe/09cb062324960b44b3e1b7956b11127ceed92a5f,"Computer Science, Mathematics",6 April 2010,This book presents the first cohesive treatment of Information Theoretic Learning learning (ITL) algorithms to adapt linear or nonlinear,626,https://doi.org/10.1007/978-1-4419-1570-2
605,Evolutionary extreme learning machine Zhu Qin/27609ed3fda10c0f35eaac014f42640ebff3df8d,Computer Science,1 October 2005,"In this paper, a hybrid learning  algorithm is proposed which uses the differential evolutionary algorithm to select the input weights and Moore-Penrose (MP) generalized inverse to analytically determine the output weights.",625,https://doi.org/10.1016/j.patcog.2005.03.028
606,Support Vector Machines for Multiple Instance Andrews Tsochantaridis/02e68b069d9cf13c082049429ffed18a5ca5f6d0,"Computer Science, Mathematics",2002,This paper presents two new formulations of multiple-instance learning  as a maximum margin problem.,1392,http://papers.nips.cc/paper/2232-support-vector-machines-for-multiple-instance-learning
607,Learning From Data Abu Mostafa Magdon Ismail/1c0ed9ed3201ef381cc392fc3ca91cae6ecfc698,Engineering,2012,   ,219,https://pdfs.semanticscholar.org/8d8c/a6a53950c5ff260f67042bb10c6a9536ce18.pdf
608,Single machine scheduling with learning Biskup/a8582979cc4337bd6349d55ac6a7112a07add3a5,Computer Science,16 May 1999,The focus of this work is to analyze learning machine in single-,606,https://doi.org/10.1016/S0377-2217%2898%2900246-X
609,A Framework for Learning Predictive Structures from Ando Zhang/944e1a7b2c5c62e952418d7684e3cade89c76f87,Computer Science,1 December 2005,"We present a general framework in which the structural learning learning problem can be formulated and analyzed theoretically, and relate it to",1294,http://jmlr.org/papers/v6/ando05a.html
610,A Short Introduction to Learning to Rank Li/d74a1419d75e8743eb7e3da2bb425340c7753342,Computer Science,1 October 2011,"This short paper gives an introduction to learning learning to rank, and it specifically explains the fundamental problems, existing approaches, and future work of",271,https://pdfs.semanticscholar.org/0ec1/d263a0618d51da6b456a2591c7ef09523071.pdf
611,Single machine and two machine flowshop scheduling Koulamas Kyparisis/4d9fb7ebf0f40d61e5c6c5f00c30299ce304b5e2,Computer Science,16 April 2007,We show that the shortest processing time (SPT) sequence is optimal for the single- machine learning makespan and total completion time minimization problems when,187,https://doi.org/10.1016/j.ejor.2006.01.030
612,Intrinsic Motivation and Reinforcement Learning Barto/fae8bbf868681b83d91b2fec6c840d4d2b32005b,"Computer Science, Psychology",2013,This chapter argues that the machine learning framework of reinforcement,133,https://doi.org/10.1007/978-3-642-32375-1_2
613,Content based book recommending using learning for Mooney Roy/09622b0c84bf812814af5b64b0c83dce796899c4,Computer Science,7 February 1999,This approach has the advantage of being able to recommend previously unrated items to users with unique interests and to provide explanations for its recommendations.   ,1445,http://dl.acm.org/citation.cfm?id=336662
614,Learning with Support Vector Machines Campbell Ying/e044a4b5be1563fccc46e8f7552935b99365f90a,Computer Science,15 February 2011,Support Vectors Machine Learning s for Classification / Kernel-based Models /,206,https://doi.org/10.2200/S00324ED1V01Y201102AIM010
615,On the mathematical foundations of learning Cucker Smale/7b2dd79083a74699e4e0509ac3f0a8a302b4eabe,Computer Science,5 October 2001,We try to emphasize relations of the theory of learning  to the mainstream of mathematics.,1345,https://pdfs.semanticscholar.org/ecec/4f0b296fe1bd54f736e53f61a5a9104dd63e.pdf
616,Learning With %24%5Cell %5E%7B1%7D%24 Graph for Image Analysis Cheng Yang/c0e5a471179d2d8c7025febe77a90c3a99c7c9fa,"Mathematics, Computer Science",1 April 2010,The graph construction procedure essentially determines the potentials of those graph-oriented learning  algorithms for image analysis.,544,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5357420
617,Collaborative Learning%3A Cognitive and Computational Dillenbourg Dillenbourg/177944150565195ee9c3e28dc6b032200cfda059,Computer Science,1999,We use telematics for collaborative knowledge construction in multi-agent learning  .Acknowledgement.,1261,
618,Scaling learning algorithms towards AI Bengio LeCun/6fdb77260fc83dff91c44fea0f31a2cb8ed13d04,Computer Science,2007,"We present mathematical and empirical evidence suggesting that many popular approaches to non-parametric learning  , particularly kernel methods, are fundamentally limited in their ability to learn complex high-dimensional functions.",1001,
619,Reinforcement learning of motor skills with policy Peters Schaal/eb5b459c8a3e56064158fb3514eeab763486e437,"Computer Science, Medicine",1 May 2008,We combine the idea of modular motor control by means of motor primitives as a suitable way to generate parameterized control policies for reinforcement learning  in order to achieve this scaling.,754,https://www.ncbi.nlm.nih.gov/pubmed/18482830
620,A stochastic model of human machine interaction for Levin Pieraccini/abe0bd94e134c7ac0b1c78922ed17cf3bec08d5e,Computer Science,2000,We propose a quantitative model for dialog systems that can be used for learning  the dialog strategy.,557,https://doi.org/10.1109/89.817450
621,Minimizing the total completion time in a problem a Kuo Yang/37cb3d9152f73e2fcdfcb27b8613c3e5b566ff5c,Computer Science,16 October 2006,We introduce a time-dependent learning machine effect into a single-,230,https://doi.org/10.1016/j.ejor.2005.03.020
622,The Cerebellum%3A A Neuronal Learning Machine Raymond Lisberger/a13efb90f0b56417bf5dd5b6219681c4259ff355,"Biology, Medicine",24 May 1996,   ,607,https://doi.org/10.1126/science.272.5265.1126
623,Fully complex extreme learning machine Li Huang/e65ff1c44144d89684d089b5bad5405dc373fe30,Computer Science,1 October 2005,"We first extend the ELM algorithm from the real domain to the complex domain, and then apply the fully complex extreme learning machine (C-ELM) for nonlinear channel equalization applications.",300,https://doi.org/10.1016/j.neucom.2005.03.002
624,Cooperative Multi Agent Learning%3A The State of the Panait Luke/2a1724427b9c473e73f6abff648e7416269d3a68,Computer Science,1 November 2005,"Cooperative multi-agent systems (MAS) are ones in which several agents attempt, through their interaction, to jointly solve tasks or maximize utility.   ",1139,https://doi.org/10.1007/s10458-005-2631-2
625,Sparse Bayesian learning for basis selection Wipf Rao/0ca26f9a98dda0abb737692f72ffa682df14cb2f,"Mathematics, Computer Science",1 August 2004,"Sparse Bayesian learning  retains a desirable property of the /spl lscr//sub 0/-norm diversity measure (i.e., the global minimum is achieved at the maximally sparse solution) while often possessing a more limited constellation of local minima.",1032,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1315936
626,A Comprehensive Survey on Graph Neural Networks Wu Pan/81a4fd3004df0eb05d6c1cef96ad33d5407820df,"Computer Science, Mathematics",3 January 2019,"We propose a new taxonomy to divide the state-of-the-art GNNs into four categories, namely, recurrent, convolutional, graph autoencoders, and spatial–temporalGNNs.   ",1167,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9046288
627,Learning to learn with the informative vector Lawrence Platt/73e1c4a1152a75ec7310adfb4b8daea16d627bc7,Computer Science,4 July 2004,This paper describes an efficient method for learning  the parameters of a Gaussian process (GP).,300,http://dl.acm.org/citation.cfm?id=1015382
628,Extreme learning machine%3A RBF network case Huang Siew/3b2c67905dfa03e3624a5db4a14e3d7fded478d1,Computer Science,6 December 2004,"This paper shows that ELM can be extended to radial basis function (RBF) network case, which allows the centers and impact widths of RBF kernels to be randomly generated and the output weights to be simply analytically calculated instead of iteratively tuned.   ",245,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1468985
629,Learning Collaborative Information Filters Billsus Pazzani/efbeedfbf13db70878618553f0c4a0fec6f493fe,Computer Science,24 July 1998,Predicting items a user would like on the basis of other users’ ratings for these items has become a well-established strategy adopted by many recommendation services on the Internet.   ,1167,
630,Learning to map between ontologies on the semantic Doan Madhavan/8f4edd71b1819eff95b669ea9042ab0f3705fe0b,Computer Science,7 May 2002,"We describe glue, a system that employs machine learning techniques to find semantic mappings between ontologies.",1057,http://dl.acm.org/citation.cfm?id=511532
631,Single Machine Scheduling with Learning Effect Cheng Wang/2b9bb3482f6ca2f7ca9d6bd764d689eae7bd1e00,Computer Science,1 December 2000,"In this paper, we study a single machine learning scheduling problem in which the job processing times will decrease as a result of",274,https://doi.org/10.1023/A%3A1019216726076
632,Learning Question Classifiers Li Roth/2c8ac3e1f0edeed1fbd76813e61efdc384c319c7,Computer Science,24 August 2002,"We learn a hierarchical classifier that is guided by a layered semantic hierarchy of answer types, and eventually classifies questions into fine-grained classes.   ",1012,https://www.aclweb.org/anthology/C02-1150.pdf
633,XGBoost%3A A Scalable Tree Boosting System Chen Guestrin/26bc9195c6343e4d7f434dd65b4ad67efe2be27a,Computer Science,9 March 2016,"We propose a scalable end-to-end tree boosting system called XGBoost, which is used widely by data scientists to achieve state-of-the-art results on many machine learning challenges.",7228,http://dl.acm.org/citation.cfm?id=2939785
634,Automatic differentiation in PyTorch Paszke Gross/b36a5bb1707bb9c70025294b3a310138aae8327a,Computer Science,28 October 2017,"In this article, we describe an automatic differentiation module of PyTorch — a library designed to enable rapid research on machine learning models.",7695,
635,Dropout%3A a simple way to prevent neural networks Srivastava Hinton/34f25a8704614163c4095b3ee2fc969b60de4698,Computer Science,2014,"Dropout improves the performance of neural networks on supervised learning  tasks in vision, speech recognition, document classification and computational biology, obtaining state-of-the-art results on many benchmark data sets.",21495,http://dl.acm.org/citation.cfm?id=2670313
636,Parallel machine scheduling with a learning effect Mosheiov/b96ce653b41f9850a88452aaa959eda875c2a482,Computer Science,1 October 2001,We show that flow-time minimization with a learning machine effect on parallel identical,208,https://doi.org/10.1057/palgrave.jors.2601215
637,Explaining and Harnessing Adversarial Examples Goodfellow Shlens/bee044c8e8903fb67523c1f8c105ab4718600cdb,"Computer Science, Mathematics",19 December 2014,A simple and fast method of generating adversarial examples that makes adversarial training practical.   ,6623,https://arxiv.org/pdf/1412.6572.pdf
638,LIBSVM%3A A library for support vector machines Chang Lin/273dfbcb68080251f5e9ff38b4413d7bd84b10a1,Computer Science,1 April 2011,   ,37387,http://dl.acm.org/citation.cfm?id=1961199
639,A Learning Machine%3A Part I Friedberg/46bed4c578e96e05fa3e5704620c4ffa0746d78f,Computer Science,1958,"It is proposed that the program of a stored-program computer be gradually improved by a learning  procedure which tries many programs and chooses, from the instructions that may occupy a given location, the one most often associated with a successful result.",406,https://pdfs.semanticscholar.org/46be/d4c578e96e05fa3e5704620c4ffa0746d78f.pdf
640,Measuring the VC Dimension of a Learning Machine Vapnik Levin/899defb6a100af509547b8d74bb626533ee87da4,"Mathematics, Computer Science",1 September 1994,A method for measuring the capacity of learning machine s is described with empirical measurements of the maximal difference between the error rates on two separate data sets of varying sizes.,324,https://doi.org/10.1162/neco.1994.6.5.851
